programm;install;description;status
choco-upgrade-all-at-startup;1;AutoUpdate für choco per Task;
7zip;1;Entpackungssoftware;
adblockpluschrome;1;AdBlock Add-in für Chrome;
adblockplusfirefox;1;AdBlock Add-in für Firefox;
adblockplusie;1;AdBlock Add-in für IE;
adobereader;0;PDF Viewer;
ccleaner;1;Ccleaner OpenSource;
chromelpass-chrome;1;Keepass Addin für Chrome;
cpu-z;0;CPU Auswertung OpenSource;
crystaldiskinfo;1;Disk Info OpenSource;
discord;0;Discord Client;
filezilla;0;File Manager OpenSource;
firefox;1;Browser;
googlechrome;1;Browser google Chrome;
itunes;0;Apple iTunes;
jdownloader;0;Dateidownloader OpenSource;
keepass;1;Kepass;
keepass-keepasshttp;1;HTTP Addin für Keepass;
leagueoflegends;0;League of Legend Client EU;
logitechgaming;0;Logitech Gaming Software;
notepadplusplus;1;Texteditor OpenSource;
nvidia-display-driver;0;Treiber für Nvidia Grafikkarten;
office365homepremium;0;Microsoft Office 365 Home Premium;
openttd;0;transport simulation game based upon the popular game Transport Tycoon Deluxe;
Origin;0;Origin Client;
paint.net;1;Zeichenprogramm;
pdf24;0;freier PDF Bearbeitungssoftware;
playnite;0;Spieleverwaltung für Steam,uplay und Co.;
putty;1;SSH Client OpenSource;
scribus;0;Open Source Desktop Publishing;
skype;0;Skype Client;
spotify;0;Musikstreaming-Anbieter ;
steam;0;Value Steam Client;
synologydrive;0;Synology Drive Client;
teamspeak;0;Teamspeak 3 Client;
twitch;0;Twitch App;
uplay;0;Uplay Client;
vlc;0;VLC Media Player;
vscode;0;Microsoft VisualStudio Code;
whatsapp;0;Whatsapp for PC;
win32diskimager;1;ISO Maker OpenSource;
winscp;1;File Manager OpenSource;
wireshark;0;Netzwerk-Analyse;
